Q1,,,,,,,,,,,,,
,,,,,,,,,,,,,
Total issues,April,May,June ,July,Aug,Sept,Oct,Nov,Dec,Jan-24,Feb-24,Mar-24,Totals 2023-24
"Tomorrow, and tomorrow, and tomorrow / Gabrielle Zevin","Zevin, Gabrielle",43,,,,,,,,,,,
Jamie Smart's Bunny vs Monkey multiverse mix-up!,"Smart, Jamie",43,,,,,,,,,,,
Yellowface / Rebecca F. Kuang,"Kuang, R. F. (Rebecca F.)",43,,,,,,,,,,,
Infrastructure : a field guide to the industrial landsc,"Hayes, Brian",42,,,,,,,,,,,
Illustrator CS6 for Windows and Macintosh / Elaine Wein,"Weinmann, Elaine",42,,,,,,,,,,,
An artist's handbook : materials and techniques / Marga,"Krug, Margaret Manning",42,,,,,,,,,,,
Digital art techniques for illustrators & artists : the,"Lardner, Joel",42,,,,,,,,,,,
Accounting and finance for non-specialists / Peter Atri,"Atrill, Peter",42,,,,,,,,,,,
What color is your parachute? : a companion to the best,"Bolles, Richard Nelson",42,,,,,,,,,,,
Creative fashion design with Illustrator® / Kevin Tallo,"Tallon, Kevin",42,,,,,,,,,,,
"First you write a sentence : the elements of reading, w","Moran, Joe, 1970-",42,,,,,,,,,,,
More than happiness : Buddhist and stoic wisdom for a s,"Macaro, Antonia",42,,,,,,,,,,,
Bunny vs Monkey / Jamie Smart,"Smart, Jamie",42,,,,,,,,,,,
Daddy Pig's fun run,,42,,,,,,,,,,,
"I love you, Daddy Pig! / adapted by Lauren Holowaty","Holowaty, Lauren",42,,,,,,,,,,,
Ella Bella Ballerina and a midsummer night's dream,"Mayhew, James, 1964-",42,,,,,,,,,,,
Dead lions / Mick Herron,"Herron, Mick",42,,,,,,,,,,,
Peppa loves yoga / adapted by Lauren Holowaty ; Peppa P,"Holowaty, Lauren",42,,,,,,,,,,,
,,,,,,,,,,,,,
Q3,,,,,,,,,,,,,
,,,,,,,,,,,,,
Note – monthly figures not recorded at branch level.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Year,Month,Total,,,,,,,,,,,
2023,Apr,3340,,,,,,,,,,,
2023,May,4075,,,,,,,,,,,
2023,Jun,5315,,,,,,,,,,,
2023,Jul,5178,,,,,,,,,,,
2023,Aug,5038,,,,,,,,,,,
2023,Sep,5058,,,,,,,,,,,
2023,Oct,5313,,,,,,,,,,,
2023,Nov,5420,,,,,,,,,,,
2023,Dec,4218,,,,,,,,,,,
2024,Jan,5307,,,,,,,,,,,
2024,Feb,5443,,,,,,,,,,,
2024,Mar,5699,,,,,,,,,,,
,,,,,,,,,,,,,
Q4,,,,,,,,,,,,,
,,,,,,,,,,,,,
Balham Library,7766,,,,,,,,,,,,
Battersea Library,5202,,,,,,,,,,,,
Battersea Park Library,2221,,,,,,,,,,,,
Earlsfield Library,2676,,,,,,,,,,,,
Home Delivery Library,530,,,,,,,,,,,,
Northcote Library,2718,,,,,,,,,,,,
Putney Library,6987,,,,,,,,,,,,
Roehampton Library,2104,,,,,,,,,,,,
Southfields Library,4513,,,,,,,,,,,,
Tooting Library,8415,,,,,,,,,,,,
Wandsworth Town Library,4221,,,,,,,,,,,,
York Gardens Library,941,,,,,,,,,,,,
Sum:,48294,,,,,,,,,,,,
,,,,,,,,,,,,,
Q5,,,,,,,,,,,,,
,,,,,,,,,,,,,TOTALS
Library,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,2023/24
Balham,"13,880"," 13,115 "," 14,383 "," 15,627 "," 13,410 ","15,336","16,100","17,518","13,721","16,073","15,926","17,880","70,415"
Battersea,"13,043"," 8,671 "," 9,222 "," 12,046 "," 11,893 ","12,311","13,931","13,556","10,122","13,658","12,716","13,086","54,875"
Battersea Park,"2,616"," 2,831 "," 3,288 "," 3,312 "," 2,876 ","3,608","5,196","4,642","3,548","4,700","4,807","5,275","14,923"
Earlsfield,"4,658"," 4,184 "," 5,396 "," 5,274 "," 4,467 ","5,365","5,749","6,281","4,524","5,730","6,080","5,968","23,979"
Northcote,"5,624"," 5,753 "," 6,750 "," 6,369 "," 4,689 ","5,509","5,568","6,159","5,216","6,020","6,430","7,813","29,185"
Putney,"11,069"," 5,371 "," 10,434 "," 1,965 "," 10,687 ","10,576","13,163","14,206","11,836","14,560","14,475","14,665","39,526"
Roehampton,"4,023"," 4,050 "," 3,962 "," 4,929 "," 5,577 ","5,471","6,139","6,464","5,620","5,608","5,701","6,096","22,541"
Southfields,"10,002"," 8,558 "," 6,711 "," 6,628 "," 7,170 ","7,334","7,649","11,029","9,190","11,165","10,256","11,419","39,069"
Tooting,"10,053"," 10,701 "," 11,077 "," 11,853 "," 10,469 ","11,370","13,041","12,542","10,466","12,110","12,668","12,551","54,153"
Wandsworth Town,"8,743"," 9,419 "," 8,611 "," 8,365 "," 10,028 ","8,970","9,577","5,679","8,876","11,057","10,145","9,956","45,166"
York Gardens,"4,194"," 4,557 "," 4,350 "," 3,995 "," 4,169 ","4,436","4,828","4,923","4,506","4,926","5,744","5,395","21,265"
Total,87905,77210,84184,80363,85435,90286,100941,102999,87625,105607,104948,110104,"415,097"
,,,,,,,,,,,,,
